   ,chang_per           ,change               ,high  ,last             ,low   ,name         ,time              ,volume
210,0.14190051020408162 ,1.3040178571428571   ,914.69,909.174081632653 ,906.64,VN 30 (VNI30),1553232708.02163  ,26344.0
211,0.14200762388818297 ,1.3050698856416774   ,914.69,909.1751334180433,906.64,VN 30 (VNI30),1553232758.370493 ,26344.0
212,0.14211392405063292 ,1.3061139240506328   ,914.69,909.1761772151899,906.64,VN 30 (VNI30),1553232807.025821 ,26344.0
213,0.1422544080604534  ,1.307493702770781    ,914.69,909.177556675063 ,906.64,VN 30 (VNI30),1553232853.68441  ,26344.0
214,0.14235884567126728 ,1.3085194479297364   ,914.69,909.178582183187 ,906.64,VN 30 (VNI30),1553232907.542101 ,26344.0
215,0.1424625           ,1.3095375000000002   ,914.69,909.1796         ,906.64,VN 30 (VNI30),1553232957.027093 ,26344.0
216,0.14259950248756217 ,1.3108830845771144   ,914.69,909.1809452736318,906.64,VN 30 (VNI30),1553233002.3026838,26344.0
217,0.1427013630731103  ,1.3118835192069394   ,914.69,909.1819454770757,906.64,VN 30 (VNI30),1553233058.416497 ,26344.0
218,0.14280246913580247 ,1.3128765432098766   ,914.69,909.182938271605 ,906.64,VN 30 (VNI30),1553233108.030014 ,26344.0
219,0.14293611793611793 ,1.3141891891891895   ,914.69,909.1842506142506,906.64,VN 30 (VNI30),1553233152.852694 ,26344.0
220,0.1431013431013431  ,1.315811965811966    ,914.69,909.185873015873 ,906.64,VN 30 (VNI30),1553233198.6614459,26344.0
221,0.14313414634146343 ,1.3161341463414635   ,914.69,909.1861951219512,906.64,VN 30 (VNI30),1553233258.0281742,26344.0
222,0.14326456310679608 ,1.3174150485436893   ,914.69,909.1874757281553,906.64,VN 30 (VNI30),1553233302.909984 ,26344.0
223,0.14336154776299878 ,1.3183675937122128   ,914.69,909.1884280532045,906.64,VN 30 (VNI30),1553233359.217851 ,26344.0
224,0.14345783132530118 ,1.3193132530120484   ,914.69,909.1893734939758,906.64,VN 30 (VNI30),1553233408.027649 ,26344.0
225,0.1435851318944844  ,1.3205635491606713   ,914.69,909.1906235011991,906.64,VN 30 (VNI30),1553233453.444722 ,26344.0
226,0.14367980884109918 ,1.321493428912784    ,914.69,909.1915531660694,906.64,VN 30 (VNI30),1553233509.630498 ,26344.0
