    ,date      ,price
281 ,2018-01-25,1095.52
282 ,2018-01-23,1082.71
283 ,2018-01-22,1082.71
284 ,2018-01-19,1053.47
285 ,2018-01-18,1048.56
286 ,2018-01-17,1030.0
287 ,2018-01-16,1061.78
288 ,2018-01-15,1063.11
289 ,2018-01-12,1049.86
290 ,2018-01-11,1047.2
291 ,2018-01-10,1039.7
292 ,2018-01-09,1039.64
293 ,2018-01-08,1023.5
294 ,2018-01-05,1007.73
295 ,2018-01-04,1014.15
296 ,2018-01-03,1004.66
297 ,2018-01-02,992.72
298 ,2017-12-29,975.52
299 ,2017-12-28,966.91
300 ,2017-12-27,958.02
301 ,2017-12-26,955.73
302 ,2017-12-25,949.28
303 ,2017-12-22,945.88
304 ,2017-12-21,936.53
305 ,2017-12-20,948.78
306 ,2017-12-19,947.62
307 ,2017-12-18,950.81
308 ,2017-12-15,926.7
309 ,2017-12-14,928.21
310 ,2017-12-13,913.33
311 ,2017-12-12,914.82
312 ,2017-12-11,908.29
313 ,2017-12-08,930.25
314 ,2017-12-07,928.74
315 ,2017-12-06,939.06
316 ,2017-12-05,944.07
317 ,2017-12-04,966.44
318 ,2017-12-01,952.46
319 ,2017-11-30,943.05
320 ,2017-11-29,946.55
321 ,2017-11-28,935.74
322 ,2017-11-27,930.9
323 ,2017-11-24,926.21
324 ,2017-11-23,922.92
325 ,2017-11-22,922.18
326 ,2017-11-21,910.54
327 ,2017-11-20,899.31
328 ,2017-11-17,887.41
329 ,2017-11-16,890.01
330 ,2017-11-15,877.58
331 ,2017-11-14,871.08
332 ,2017-11-13,868.11
333 ,2017-11-10,858.55
334 ,2017-11-09,853.05
335 ,2017-11-08,853.57
336 ,2017-11-07,846.03
337 ,2017-11-06,844.73
338 ,2017-11-03,840.04
339 ,2017-11-02,827.66
340 ,2017-11-01,835.38
341 ,2017-10-31,831.62
342 ,2017-10-30,837.52
343 ,2017-10-27,834.91
344 ,2017-10-26,822.53
345 ,2017-10-25,821.45
346 ,2017-10-24,815.24
347 ,2017-10-23,809.36
348 ,2017-10-20,813.99
349 ,2017-10-19,817.39
350 ,2017-10-18,816.84
351 ,2017-10-17,818.48
352 ,2017-10-16,811.85
353 ,2017-10-13,815.47
354 ,2017-10-12,809.6
355 ,2017-10-11,806.83
356 ,2017-10-10,805.3
357 ,2017-10-09,801.49
358 ,2017-10-06,800.42
359 ,2017-10-05,797.42
360 ,2017-10-04,795.76
361 ,2017-10-03,787.02
362 ,2017-10-02,790.7
363 ,2017-09-29,792.72
